ticker,current_price,sma_5,sma_10,sma_20,sma_50,analysis_date,signal_vs_sma5,signal_vs_sma20
AAPL,254.0399932861328,256.6579986572266,256.0389999389648,250.56849899291993,236.23127044677733,2025-10-10 13:46:51,SELL,BUY
MSFT,522.4000244140625,523.4299926757812,519.6609954833984,515.4084976196289,513.6646020507812,2025-10-10 13:46:51,SELL,BUY
GOOGL,241.52999877929688,245.53799743652343,245.1969985961914,247.44699935913087,224.84967254638673,2025-10-10 13:46:51,SELL,SELL
AMZN,227.74000549316406,223.02999877929688,221.97100067138672,224.71849975585937,226.00539978027345,2025-10-10 13:46:51,BUY,BUY
TSLA,435.5400085449219,438.0799987792969,441.4189971923828,431.8404998779297,373.23819946289063,2025-10-10 13:46:51,SELL,BUY
NVDA,192.57000732421875,187.9759979248047,186.26300048828125,181.6490005493164,179.03820068359374,2025-10-10 13:46:51,BUY,BUY
META,733.510009765625,718.1300048828125,725.6570068359375,745.8607330322266,753.4151477050781,2025-10-10 13:46:51,BUY,SELL
NFLX,1231.0699462890625,1190.602001953125,1190.2380126953126,1200.7434997558594,1208.6377954101563,2025-10-10 13:46:51,BUY,BUY
JPM,305.5299987792969,306.99199829101565,309.2825988769531,309.7278076171875,299.9855969238281,2025-10-10 13:46:51,SELL,SELL
BAC,49.790000915527344,50.19000015258789,50.832999801635744,51.15550003051758,49.35276039123535,2025-10-10 13:46:51,SELL,SELL
GS,779.9600219726562,786.5760131835938,790.0750061035156,792.7850036621094,757.5676696777343,2025-10-10 13:46:51,SELL,SELL
MS,156.27000427246094,156.71399841308593,157.5990005493164,157.98450088500977,151.1965997314453,2025-10-10 13:46:51,SELL,SELL
C,95.91999816894531,97.24199981689453,99.03399963378907,100.36550025939941,96.89435577392578,2025-10-10 13:46:51,SELL,SELL
V,347.0400085449219,349.9880004882813,346.26300048828125,343.1899978637695,343.5018341064453,2025-10-10 13:46:51,SELL,BUY
MA,564.5499877929688,575.407421875,572.6455383300781,576.3998016357422,579.6228918457032,2025-10-10 13:46:51,SELL,SELL
PYPL,75.75,73.40599975585937,70.66600036621094,69.12299995422363,68.840400390625,2025-10-10 13:46:51,BUY,BUY
JNJ,191.0800018310547,189.29200134277343,186.5240005493164,181.49600067138672,177.33668304443358,2025-10-10 13:46:51,BUY,BUY
PFE,25.239999771118164,26.198000335693358,25.83700008392334,24.910000038146972,24.807999954223632,2025-10-10 13:46:52,SELL,BUY
MRK,87.5,87.9000015258789,86.02100067138672,83.3064998626709,82.71133697509765,2025-10-10 13:46:52,SELL,BUY
UNH,367.69000244140625,364.0480041503906,355.68199768066404,349.71349945068357,313.5414245605469,2025-10-10 13:46:52,BUY,BUY
ABBV,230.69000244140625,231.77200317382812,231.51100158691406,225.81600036621094,213.70680023193358,2025-10-10 13:46:52,SELL,BUY
WMT,101.7699966430664,102.53599853515625,102.56399917602539,102.87799949645996,101.13863861083985,2025-10-10 13:46:52,SELL,SELL
COST,942.8900146484375,919.7619995117187,919.1370056152343,935.6715026855469,952.3990014648438,2025-10-10 13:46:52,BUY,BUY
PG,150.5800018310547,151.29800109863282,152.13999938964844,153.9004997253418,155.1291995239258,2025-10-10 13:46:52,SELL,SELL
KO,66.37000274658203,66.40600128173828,66.29400024414062,66.35849990844727,67.74759765625,2025-10-10 13:46:52,SELL,BUY
PEP,144.7100067138672,141.20399780273436,141.2519989013672,141.272998046875,143.39336303710937,2025-10-10 13:46:52,BUY,BUY
MCD,293.80999755859375,296.31000366210935,299.40700073242186,301.30650024414064,305.4113671875,2025-10-10 13:46:52,SELL,SELL
TGT,89.0999984741211,89.347998046875,89.17699890136718,88.77749900817871,94.6420181274414,2025-10-10 13:46:52,SELL,BUY
XOM,112.91000366210938,113.73000030517578,113.6120002746582,113.67349967956542,111.02643234252929,2025-10-10 13:46:52,SELL,SELL
CVX,151.63999938964844,153.57200317382814,154.73600158691406,156.49150009155272,155.5296710205078,2025-10-10 13:46:52,SELL,SELL
COP,91.94999694824219,94.0000015258789,94.77600021362305,94.21000022888184,94.4508888244629,2025-10-10 13:46:52,SELL,SELL
BA,216.0,219.83400268554686,218.5970001220703,216.78400039672852,224.24739990234374,2025-10-10 13:46:52,SELL,SELL
CAT,500.3599853515625,496.48399658203124,486.83299865722654,471.87450103759767,442.3284014892578,2025-10-10 13:46:52,BUY,BUY
GE,299.3500061035156,299.7739990234375,298.82700500488284,296.898291015625,282.57115478515624,2025-10-10 13:46:52,SELL,BUY
MMM,152.8800048828125,155.76000061035157,155.56699981689454,155.5819999694824,154.47618774414062,2025-10-10 13:46:52,SELL,SELL
DIS,110.98999786376953,112.1259994506836,112.84699935913086,113.56149978637696,115.51079956054687,2025-10-10 13:46:52,SELL,SELL
CMCSA,30.079999923706055,30.688000106811522,30.841611289978026,31.25127544403076,32.230093460083005,2025-10-10 13:46:52,SELL,SELL
T,26.100000381469727,26.288000106811523,27.061999893188478,28.061000061035156,28.447600059509277,2025-10-10 13:46:52,SELL,SELL
VZ,40.83000183105469,41.73199996948242,42.67000045776367,43.13400001525879,43.50739997863769,2025-10-10 13:46:52,SELL,SELL
ORCL,296.9599914550781,289.1133544921875,286.83477172851565,295.62474822998047,265.73615692138674,2025-10-10 13:46:52,BUY,BUY
ADBE,347.4700012207031,348.28599853515624,350.91700134277346,354.35399932861327,351.89739807128905,2025-10-10 13:46:52,SELL,SELL
CRM,245.3300018310547,242.3279998779297,241.17400054931642,242.48702163696288,244.67704345703126,2025-10-10 13:46:52,BUY,BUY
INTC,37.79999923706055,37.16399993896484,36.25899963378906,32.25349988937378,26.73099994659424,2025-10-10 13:46:52,BUY,BUY
AMD,232.88999938964844,209.66799926757812,186.46899871826173,173.1095001220703,169.74359954833983,2025-10-10 13:46:52,BUY,BUY
